CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO
6982603,BASE SAMU CENTRO HSPM AM1207,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5799074,BASE SAMU CENTRO NOVE DE JULHO URAM MC1079,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5798981,BASE SAMU CENTRO NOVE DE JULHO URAM MC1099,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272820,BASE SAMU CENTRO NOVE DE JULHO URAM MC2003,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272839,BASE SAMU CENTRO NOVE DE JULHO URAM MC2004,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018533,BASE SAMU CENTRO UBS SE AM1208,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7024304,BASE SAMU CENTRO UBS SE AM1209,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018509,BASE SAMU LESTE ATUALPA AM1091,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030436,BASE SAMU LESTE H M CID TIRADENTES AM 1064,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018363,BASE SAMU LESTE H M CID TIRADENTES AM1108,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752329,BASE SAMU LESTE H M CIDADE TIRADENTES URAM MC2018,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752345,BASE SAMU LESTE H M CIDADE TIRADENTES URAM MC2026,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018541,BASE SAMU LESTE H M ERMELINO M AM1188,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018282,BASE SAMU LESTE H M ERMELINO M AM1199,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018568,BASE SAMU LESTE H M ITAQUERA AM1088,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001371,BASE SAMU LESTE H M ITAQUERA AM1200,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272421,BASE SAMU LESTE H M ITAQUERA URAM MC2011,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272448,BASE SAMU LESTE H M ITAQUERA URAM MC2012,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752353,BASE SAMU LESTE PB SAO MIGUEL URAM MC2010,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752361,BASE SAMU LESTE PB SAO MIGUEL URAM MC2017,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272472,BASE SAMU LESTE SAO MATEUS AM1075,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018487,BASE SAMU LESTE SAO MATEUS AM1076,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001436,BASE SAMU LESTE SAO MATEUS AM1109,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
