CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO,COD_CEP,BAIRRO,ZONA
2081970,HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA,HOSPITAL GERAL,04330902,Vila Campestre,Zona Sul
2084139,HOSP MUN JARDIM IVA DR BENEDITO MONTENEGRO,HOSPITAL GERAL,03921080,Jardim Iva,Zona Leste
9465464,HOSP MUN JOSANIAS CASTANHA BRAGA,HOSPITAL GERAL,04883290,Jardim Roschel,Zona Sul
5718368,HOSP MUN M BOI MIRIM DR MOYSES DEUSTSCH,HOSPITAL GERAL,04948970,Jardim Ângela (Zona Sul),Zona Sul
2079186,HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA,HOSPITAL ESPECIALIZADO,02721000,Limão,Zona Norte
2075717,HOSP MUN MATERNIDADE PROF MARIO DEGNI,HOSPITAL GERAL,05376010,Vila Antônio,Zona Oeste
2077450,HOSP MUN PIRITUBA JOSE SOARES HUNGRIA,HOSPITAL GERAL,02945000,Jardim Cidade Pirituba,Zona Norte
6998194,HOSP MUN SOROCABANA,HOSPITAL GERAL,05319000,Vila Hamburguesa,Zona Oeste
2080346,HOSP MUN TATUAPE DR CARMINO CARICCHIO,HOSPITAL GERAL,03063000,Tatuapé,Zona Leste
2080583,HOSP MUN TIDE SETUBAL,HOSPITAL GERAL,08010220,Vila Doutor Eiras,Zona Leste
3212130,HOSP MUN VILA MARIA VEREADOR JOSE STOROPOLLI,HOSPITAL GERAL,02181160,Parque Novo Mundo,Zona Norte
2080788,HOSP MUN VILA NHOCUNE ALEXANDRE ZAIO,HOSPITAL GERAL,03558050,Vila Nhocune,Zona Leste
2091399,HOSP N SRA DO PARI,HOSPITAL ESPECIALIZADO,03031040,Canindé,Zona Leste
2089777,HOSP NIPO BRASILEIRO,HOSPITAL GERAL,02189000,Parque Novo Mundo,Zona Norte
2077477,HOSP STA MARCELINA,HOSPITAL GERAL,08270070,Vila Carmosina,Zona Leste
2076926,HOSP UNIVERSITARIO - HU/USP,HOSPITAL GERAL,05580000,Vila Pirajussara,Zona Oeste
2091666,HOSP WLADIM ARRUDA,HOSPITAL/DIA - ISOLADO,04829310,Jardim das Imbuias,Zona Sul
2077388,HOSPITAL AMPARO MATERNAL,HOSPITAL ESPECIALIZADO,04040032,Vila Clementino,Zona Sul
2080575,HOSPITAL BP,HOSPITAL GERAL,01323900,Liberdade,Centro
2078570,HOSPITAL CANTAREIRA,HOSPITAL GERAL,02340000,Tucuruvi,Zona Norte
2751852,HOSPITAL DIA - VILA PRUDENTE,HOSPITAL/DIA - ISOLADO,03132050,Vila Prudente,Zona Leste
7019076,HOSPITAL DIA - BRASILANDIA FO,HOSPITAL/DIA - ISOLADO,02842260,Jardim do Tiro,Zona Norte
2027240,HOSPITAL DIA - BUTANTA,HOSPITAL/DIA - ISOLADO,05535100,Jardim Peri Peri,Zona Oeste
6998178,HOSPITAL DIA - CAMPO LIMPO - JARDIM PIRAJUSSARA,HOSPITAL/DIA - ISOLADO,05760140,Jardim Martinica,Zona Oeste
2751925,HOSPITAL DIA - CIDADE ADEMAR,HOSPITAL/DIA - ISOLADO,04463010,Balneário Mar Paulista,Zona Sul
2751860,HOSPITAL DIA - FLAVIO GIANNOTTI,HOSPITAL/DIA - ISOLADO,04211000,Ipiranga,Zona Sul
6136028,HOSPITAL DIA - ITAIM PAULISTA,HOSPITAL/DIA - ISOLADO,08115100,Itaim Paulista,Zona Leste
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,05819080,Jardim Santa Josefina,Zona Oeste
7378394,HOSPITAL DIA - M BOI MIRIM II - VERA CRUZ,HOSPITAL/DIA - ISOLADO,04962000,Vila do Sol,Zona Sul
6135749,HOSPITAL DIA - MOOCA,HOSPITAL/DIA - ISOLADO,03192060,Vila Oratório,Zona Leste
2751933,HOSPITAL DIA - PENHA - HATIRO SHIMOMOTO,HOSPITAL/DIA - ISOLADO,03632010,Penha de França,Zona Leste
9950931,HOSPITAL DIA - SANTO AMARO,HOSPITAL/DIA - ISOLADO,04753060,Santo Amaro,Zona Sul
6391869,HOSPITAL DIA - SAO MATEUS DR HENRIQUE C GONCALVES,HOSPITAL/DIA - ISOLADO,03948000,Jardim Nove de Julho,Zona Leste
2751976,HOSPITAL DIA - SAO MIGUEL DR TITO LOPES DA SILVA,HOSPITAL/DIA - ISOLADO,08010150,Vila Doutor Eiras,Zona Leste
7979649,HOSPITAL DIA - VILA GUILHERME,HOSPITAL/DIA - ISOLADO,02054100,Vila Guilherme,Zona Norte
8032653,HOSPITAL DIA CAPELA DO SOCORRO,HOSPITAL/DIA - ISOLADO,04829310,Jardim das Imbuias,Zona Sul
2081288,HOSPITAL DO CORACAO,HOSPITAL GERAL,04004030,Paraíso,Zona Sul
2089785,HOSPITAL DO RIM E HIPERTENSAO,HOSPITAL ESPECIALIZADO,04038002,Vila Clementino,Zona Sul
2089602,HOSPITAL DO SEPACO,HOSPITAL GERAL,04102900,Vila Mariana,Zona Sul
2058502,HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA,HOSPITAL GERAL,04029000,Indianópolis,Zona Sul
2078589,HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZUL,HOSPITAL GERAL,01538900,Cambuci,Centro
2688581,HOSPITAL GERIATRICO E CONVALESC D PEDRO II,HOSPITAL GERAL,02265002,Tucuruvi,Zona Norte
2089696,HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP,HOSPITAL ESPECIALIZADO,04039001,Vila Clementino,Zona Sul
2058391,HOSPITAL ISRAELITA ALBERT EINSTEIN,HOSPITAL GERAL,05652900,Jardim Leonor,Zona Oeste
2082624,HOSPITAL JAPONES SANTA CRUZ,HOSPITAL GERAL,04122000,Vila Mariana,Zona Sul
2077507,HOSPITAL LEFORTE - LIBERDADE,HOSPITAL GERAL,01506000,Liberdade,Centro
7252455,HOSPITAL PROFESSORA LYDIA STOROPOLI,HOSPITAL GERAL,01504001,Liberdade,Centro
2079445,HOSPITAL SANTA ISABEL,HOSPITAL GERAL,01238010,Higienópolis,Centro
3039420,HOSPITAL SAO CAMILO SANTANA,HOSPITAL GERAL,02406040,Santana,Zona Norte
2076896,HOSPITAL SAO LUIZ GONZAGA,HOSPITAL GERAL,02276140,Jaçanã,Zona Norte
2077485,HOSPITAL SAO PAULO - UNIFESP,HOSPITAL GERAL,04024002,Vila Clementino,Zona Sul
3701832,HOSPITAL SILVIO ROMERO,HOSPITAL GERAL,03308060,Vila Azevedo,Zona Leste
2079127,HOSPITAL SIRIO LIBANES,HOSPITAL GERAL,01308050,Bela Vista,Centro
5130883,HSOLHOS,CLINICA/CENTRO DE ESPECIALIDADE,01401002,Jardim Paulista,Centro
3975363,I9MED DIGITAL,CLINICA/CENTRO DE ESPECIALIDADE,05426100,Pinheiros,Zona Oeste
7655037,ICRESP INSTITUTO DE CARDIOLOGIA E DORFMAN E COSTA SERVICOS,CLINICA/CENTRO DE ESPECIALIDADE,01332000,Bela Vista,Centro
5177022,IMEDI - INSTITUTO DE MEDICINA DIAGNOSTICA (DESATIVADO 09/2022),UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),04739000,Santo Amaro,Zona Sul
0255661,IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA,HOSPITAL GERAL,04556901,Brooklin Paulista,Zona Sul
