CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO,BAIRRO,ANO,MES,PA_PROC_ID,NO_PROCEDIMENTO,QTD_APROVADA,VALOR_APROVADO,QTD_PRODUZIDA,VALOR_PRODUZIDO
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204060109,RADIOGRAFIA DE CALCANEO,1.0,6.5,1.0,6.5
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0214010090,,1.0,0.0,1.0,0.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0205020062,ULTRASSONOGRAFIA DE ARTICULACAO,53.0,1282.6,53.0,1282.6
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0414020120,EXODONTIA DE DENTE DECÍDUO,4.0,0.0,4.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0301010153,PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA,25.0,0.0,25.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0307030059,RASPAGEM ALISAMENTO E POLIMENTO SUPRAGENGIVAIS (POR SEXTANTE),3.0,0.0,3.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204040124,RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA),38.0,262.58,38.0,262.58
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204040078,RADIOGRAFIA DE COTOVELO,6.0,35.4,6.0,35.4
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204060087,RADIOGRAFIA DE ARTICULACAO TIBIO-TARSICA,6.0,39.0,6.0,39.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204060125,RADIOGRAFIA DE JOELHO (AP + LATERAL),17.0,115.26,17.0,115.26
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2020,8,0205020100,ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL,41.0,992.2,41.0,992.2
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0205010059,ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO,208.0,8923.2,208.0,8923.2
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204040116,RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES),12.0,95.76,12.0,95.76
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2020,8,0301010072,CONSULTA MEDICA EM ATENÇÃO ESPECIALIZADA,3828.0,38280.0,3828.0,38280.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204020093,RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL),32.0,293.12,32.0,293.12
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204040060,RADIOGRAFIA DE CLAVICULA,1.0,7.4,1.0,7.4
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204020085,RADIOGRAFIA DE COLUNA LOMBO-SACRA FUNCIONAL / DINAMICA,2.0,33.76,2.0,33.76
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0101040024,AVALIAÇÃO ANTROPOMÉTRICA,4.0,0.0,4.0,0.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0401010120,RETIRADA DE LESAO POR SHAVING,6.0,118.74,6.0,118.74
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0214010015,GLICEMIA CAPILAR,84.0,0.0,84.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204010080,RADIOGRAFIA DE CRANIO (PA + LATERAL),1.0,7.52,1.0,7.52
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0401010074,EXERESE DE TUMOR DE PELE E ANEXOS / CISTO SEBACEO / LIPOMA,5.0,62.3,5.0,62.3
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0205010059,ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO,15.0,643.5,15.0,643.5
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0214010074,"TESTE RÁPIDO TREPONÊMICO (SÍFILIS) PARA POPULAÇÃO GERAL(EXCETO GESTANTE, PARCEIRO OU PARCERIA)",8.0,8.0,8.0,8.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0211020044,MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS),63.0,1890.0,63.0,1890.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2020,8,0301100039,AFERIÇÃO DE PRESSÃO ARTERIAL,80.0,0.0,80.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2020,8,0301100152,RETIRADA DE PONTOS DE CIRURGIAS (POR PACIENTE),9.0,0.0,9.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2020,8,0801010020,CONCLUSÃO DA ASSISTÊNCIA PRE-NATAL (INCENTIVO),1.0,0.0,1.0,0.0
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2020,8,0211020036,ELETROCARDIOGRAMA,273.0,1405.95,273.0,1405.95
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0401010066,EXCISÃO E/OU SUTURA SIMPLES DE PEQUENAS LESÕES / FERIMENTOS DE PELE / ANEXOS E MUCOSA,2.0,0.0,2.0,0.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0211050083,ELETRONEUROMIOGRAMA (ENMG),217.0,5859.0,217.0,5859.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0205020143,ULTRASSONOGRAFIA OBSTETRICA,185.0,4477.0,185.0,4477.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0301010137,CONSULTA/ATENDIMENTO DOMICILIAR,185.0,0.0,185.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0801010012,ADESÃO A ASSISTÊNCIA PRE-NATAL - INCENTIVO PHPN (COMPONENTE I),7.0,0.0,7.0,0.0
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2020,8,0205020054,ULTRASSONOGRAFIA DE APARELHO URINÁRIO,49.0,1185.8,49.0,1185.8
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204060168,RADIOGRAFIA DE PERNA,6.0,53.64,6.0,53.64
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0201020041,COLETA DE MATERIAL PARA EXAME LABORATORIAL,166.0,0.0,166.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0214010074,"TESTE RÁPIDO TREPONÊMICO (SÍFILIS) PARA POPULAÇÃO GERAL(EXCETO GESTANTE, PARCEIRO OU PARCERIA)",7.0,7.0,7.0,7.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204030153,RADIOGRAFIA DE TORAX (PA E PERFIL),188.0,1786.0,188.0,1786.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204040094,RADIOGRAFIA DE MAO,50.0,315.0,50.0,315.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0307010074,TRATAMENTO RESTAURADOR ATRAUMÁTICO (TRA/ART),3.0,0.0,3.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204010128,RADIOGRAFIA DE OSSOS DA FACE (MN + LATERAL + HIRTZ),2.0,16.76,2.0,16.76
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2020,8,0301040079,ESCUTA INICIAL / ORIENTAÇÃO (ACOLHIMENTO A DEMANDA ESPONTÂNEA),3.0,0.0,3.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0301100020,,1.0,0.0,1.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0214010090,,5.0,0.0,5.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0201020033,COLETA DE MATERIAL DO COLO DE ÚTERO PARA EXAME CITOPATOLÓGICO,83.0,0.0,83.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2020,8,0204060109,RADIOGRAFIA DE CALCANEO,9.0,58.5,9.0,58.5
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2020,8,0201020033,COLETA DE MATERIAL DO COLO DE ÚTERO PARA EXAME CITOPATOLÓGICO,14.0,0.0,14.0,0.0
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2020,8,0211020060,TESTE DE ESFORCO / TESTE ERGOMETRICO,106.0,3180.0,106.0,3180.0
9684093,CAPS AD III JARDIM SAO LUIZ,CENTRO DE ATENCAO PSICOSSOCIAL,Vila das Belezas,2020,8,0309050049,SESSÃO DE AURICULOTERAPIA,11.0,0.0,11.0,0.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2020,8,0211050032,ELETROENCEFALOGRAMA EM SONO INDUZIDO C/ OU S/ MEDICAMENTO (EEG),5.0,125.0,5.0,125.0
